번호,게시판,제목,작성자,날짜,조회수
398,가입 인사,가입 인사 드립니다~,라로,2020.01.21.,46
400,자유게시판,불법(?)임상실험(?),여수등대지기,2020.01.21.,299
401,가입 인사,인사드립니다 반갑습니다^^,자연초,2020.01.21.,34
404,자유게시판,[공유] 대사를 타깃으로 한 암 치료(3): 미토콘드리아를 늘리면 암세포 사멸한다?,스망ㄹ,2020.01.22.,113
406,가입 인사,가입인사드려요~,기본기,2020.01.22.,48
407,가입 인사,반갑습니다,숲으로,2020.01.22.,42
408,기타 구충제,메트폴민을 구충제와 꼭같이 먹어야하는 이유,정인82,2020.01.22.,"1,314"
410,기타 자가임상 후기,임상도 아니고 그냥 써 봅니다.,화창한오후,2020.01.22.,384
411,니클로사미드,니클로사마이드 복용량.,정인82,2020.01.22.,"2,064"
412,자유게시판,중국 우한폐렴 확산중...,여수등대지기,2020.01.22.,280
413,가입 인사,반갑습니다,닝순이,2020.01.22.,47
418,자유게시판,댕댕이 숨쉬기 호전,배바다,2020.01.22.,207
420,기타 자가임상 후기,개똥이 굵어졌어요,배바다,2020.01.23.,124
421,자유게시판,비타민 디 2,여수등대지기,2020.01.23.,148
423,기타 자가임상 후기,개 혓바닥이 짧아졌어요.,배바다,2020.01.23.,186
424,니타조사나이드,위키피디아 내용입니다,여수등대지기,2020.01.23.,372
425,유투브방송 링크나눔,구충제에서 간암의 치료 효과를 찾아 내었습니다 (펌),분홍앵초,2020.01.23.,267
428,가입 인사,가입인사드립니다,불사조,2020.01.23.,30
429,정보 공유,안녕하세요,단디해,2020.01.23.,33
430,가입 인사,담도암 말기 복수와 염증,sherena303,2020.01.23.,174
431,가입 인사,가입 했읍니다,고딩이,2020.01.23.,51
432,가입 인사,파리장군님 까페,dajungja,2020.01.23.,240
433,가입 인사,가입인사합니다,고구마구마,2020.01.23.,26
434,가입 인사,가입했습니다(흉선암),추세추종1,2020.01.23.,60
435,가입 인사,안녕하세요,혜통,2020.01.23.,99
436,자유게시판,약 챙기기 힘드시죠?,혜통,2020.01.23.,373
437,가입 인사,가입인사드립니다,처음처럼요,2020.01.23.,45
438,가입 인사,가입인사드립니다,cjftod9956,2020.01.24.,53
440,동영상링크(중요자료),"신풍생각님의 동영상입니다. 피르비늄, 이버멕틴 복용법이 있습니다,",분홍앵초,2020.01.24.,303
441,동영상링크(중요자료),"COC프로토콜, 독성항암제 사용하면 안되는 이유 신풍생각 채널에서 확인하세요",분홍앵초,2020.01.24.,120
442,동영상링크(중요자료),"알벤다졸,암에대한 생각,신풍 생각",분홍앵초,2020.01.24.,156
443,동영상링크(중요자료),조직검사 함부로 하지마라_암치료제는 없다. 신풍생각,분홍앵초,2020.01.24.,184
444,동영상링크(중요자료),소량 방사선 피폭으로도 암이 발생한다. 신풍생각,분홍앵초,2020.01.24.,120
445,동영상링크(중요자료),"알벤다졸 복용 프로토콜, 신풍생각",분홍앵초,2020.01.24.,183
446,동영상링크(중요자료),암 치료의 길과 방향 _ 신풍 생각,분홍앵초,2020.01.24.,95
447,동영상링크(중요자료),알벤다졸검색정보2019년11월20일_복용법1부 신풍생각,분홍앵초,2020.01.24.,206
448,자유게시판,銀座東京クリニック ブログ,분홍앵초,2020.01.24.,146
449,자유게시판,텔레그램에 관하여,분홍앵초,2020.01.24.,162
450,자유게시판,알벤다졸 요약,프로토TV,2020.01.24.,278
451,가입 인사,인사드립니다,오늘도,2020.01.24.,39
453,가입 인사,안녕 하세요?,세월,2020.01.24.,53
454,자연치유정보 나눔,MMS요법. clo2이산화염소요법.  대박입니다!,정인82,2020.01.24.,976
455,가입 인사,안녕하세요,건강과평안,2020.01.24.,99
456,유투브방송 링크나눔,혈액 암 완치하는 신약으로 기적이 일어났다,분홍앵초,2020.01.24.,363
458,가입 인사,잘부탁드립니다,성성9로,2020.01.24.,127
459,기타 자가임상 후기,저는 의약사들을 이해합니다,배바다,2020.01.24.,297
460,자유게시판,우한 CCTV에 찍힌 영상 입니다. 생각보다 더 더 심각하네요.,오늘맑음,2020.01.24.,257
461,혈액암,Kymriah 항암제 정보,드림True,2020.01.24.,233
462,가입 인사,안녕하십니까,지금은일하는중,2020.01.24.,211
464,자유게시판,새해복 많이받으세요.,프로토TV,2020.01.25.,63
465,자유게시판,빡시다TV  간다님 간암 4기 펜벤다졸 복용중,오늘맑음,2020.01.25.,236
466,가입 인사,반갑습니다..카페를 옮겼습니다. 유료화 되는 사이트에 더이상 미련이 없어서...,폭풍입질74,2020.01.25.,307
467,유투브방송 링크나눔,중국  현의료진 영상,별이엄마에요,2020.01.25.,193
468,니타조사나이드,nitazoxanide,여수등대지기,2020.01.25.,626
469,자유게시판,구충제를 암치료제로 쓰는 영국,프로토TV,2020.01.25.,245
470,자유게시판,중국이 G2....????,여수등대지기,2020.01.25.,158
471,가입 인사,소세포암 4기 당뇨 있는데,성성9로,2020.01.25.,208
473,유투브방송 링크나눔,항암을 하지 말아야 할 또하나의 이유,immortal,2020.01.26.,230
474,기타 자가임상 후기,일반인 과민성대장증후군 치료 화장실 체크 일지,배바다,2020.01.26.,312
475,자유게시판,대구 알벤다졸 구해봅니다.,프로토TV,2020.01.26.,235
476,벤지미다졸정보나누기,구충제 펜벤다졸.메벤다졸. 암치료의 극대화를 위해,정인82,2020.01.26.,476
477,벤지미다졸정보나누기,구충제와 mms조합은 필수,정인82,2020.01.26.,509
478,벤지미다졸정보나누기,기생충청소시 필수영양제,정인82,2020.01.26.,546
481,폐암,폐암 1 긴자 동경 크리닉 (펌),분홍앵초,2020.01.26.,375
482,폐암,한방치료  긴자동경 클리닉  1(펌),분홍앵초,2020.01.26.,128
483,폐암,한방치료  긴자동경 클리닉 2 (펌),분홍앵초,2020.01.26.,145
484,가입 인사,반갑습니다.,말콥,2020.01.26.,198
485,자유게시판,니타조사나이드 기전,모여라,2020.01.26.,997
487,가입 인사,가입인사,힘이되자,2020.01.27.,38
488,자유게시판,우한폐렴관련 소문들,여수등대지기,2020.01.27.,166
491,자연치유정보 나눔,베이킹소다의 항암.항진균효과,정인82,2020.01.27.,486
492,폐암,한방치료  긴자동경 클리닉  1 -1(펌),분홍앵초,2020.01.27.,104
493,폐암,긴자동경 크리닉 한방 암치료 1-2 (펌),분홍앵초,2020.01.27.,90
494,폐암,멜라토닌  치료 입니다.  긴자 동경 크리닉 (펌),분홍앵초,2020.01.27.,239
495,폐암,테스 네이트 치료 법 입니다. 긴자동경 클리닉 1 (펌),분홍앵초,2020.01.27.,68
496,폐암,테스 네이트 치표법 긴자동격 크리닉 1-2 (펌),분홍앵초,2020.01.27.,104
497,폐암,노스카삔 치료법 긴자  동경크리닉 (펌),분홍앵초,2020.01.27.,202
498,가입 인사,인사 드립니다,담비,2020.01.27.,139
499,자연치유정보 나눔,약물해독. 간해독의 끝판왕?제품,정인82,2020.01.27.,486
500,자연치유정보 나눔,우한폐렴 예방및 치료약,정인82,2020.01.27.,466
501,자연치유정보 나눔,베이킹소다 먹어서 전신모낭충퇴치효과.  발라서 오래된 피부염증개선.,정인82,2020.01.27.,548
502,자유게시판,16년 중국 유학한 유튜버 이야기 보세요. (힐링툴 펌),분홍앵초,2020.01.27.,198
503,유투브방송 링크나눔,"이영돈 PD, COC 인터뷰 1~3편",솔비,2020.01.27.,189
504,자유게시판,코로나 바이러스에 의한 중증 호흡기 감염,여수등대지기,2020.01.27.,176
505,정보 공유,진짜 검사에서 흡충이 있는 것으로 나오다.,드림True,2020.01.27.,677
506,니타조사나이드,밴드에서 퍼옴 니타조사나이드의 안전성을 보여주는 자료이며,드림True,2020.01.27.,538
507,"벤지미다졸체험기, 희망나누기",우한폐렴  벤지미다졸로 예방및치료가능성,정인82,2020.01.28.,235
508,자연치유.민간요법,베이킹소다의  미국NIH항암 논문자료,정인82,2020.01.28.,260
509,질문과 대답(QnA),탈모가 심해요.,불사조,2020.01.28.,220
510,니클로사미드,니클로사마이드_호주산 구매했습니다.,화창한오후,2020.01.28.,"1,599"
511,가입 인사,반갑습니다,경율아빠,2020.01.28.,53
512,림프암,악성  림프암및 다발성  암에 관하여 긴자동경 크리닉 (펌),분홍앵초,2020.01.28.,496
513,림프암,탈리도 사마이드 1  긴자동경 클리닉 (펌),분홍앵초,2020.01.28.,333
514,질문과 대답(QnA),펜밴 부작용 문의드려요,갸웃갸웃,2020.01.28.,272
515,자연치유.민간요법,구연산의 항암.항기생충.효과,정인82,2020.01.28.,474
516,벤지미다졸정보나누기,우한폐렴 대책2,정인82,2020.01.28.,312
518,질문과 대답(QnA),알벤3일복용,짜잔,2020.01.28.,180
519,벤지미다졸 질문 게시판,다리 무릎 통증이요~~,파란하늘9,2020.01.29.,160
520,자연치유.민간요법,제 1 부 MMS(Miracle Mineral Supplement)소개-21 세기 기적의 미네랄 (Jim Humble 저) 요약 번역,드림True,2020.01.29.,266
521,자연치유.민간요법,제 2 부 의료 산업의 현실-MS(Miracle Mineral Supplement)소개,드림True,2020.01.29.,86
522,자연치유.민간요법,제 3 부 MMS 음용법,드림True,2020.01.29.,356
523,자연치유.민간요법,제 4부 짐 험블씨의 MMS2 아프리카에서의 임상실험기,드림True,2020.01.29.,124
524,자연치유.민간요법,제 5부 MMS의 이해(짐 험블 박사)|MMS란?,드림True,2020.01.29.,313
525,자연치유.민간요법,제6부 암을 포함한 심각한 질병에 MMS를 사용할 경우,드림True,2020.01.29.,321
526,자연치유.민간요법,제 7부   MMS활용 및 사례,드림True,2020.01.29.,474
527,자연치유.민간요법,MMS활용 사례,드림True,2020.01.29.,994
528,자연치유.민간요법,14.서양의 사례,드림True,2020.01.29.,632
529,자연치유.민간요법,20.MMS 사용후 전립선 질환들이 호전된 사례들,드림True,2020.01.29.,429
530,자연치유.민간요법,제 8부 질병에 따른 MMS 프로토콜,드림True,2020.01.29.,316
531,자연치유.민간요법,제9부 MMS제조방법,드림True,2020.01.29.,571
532,자연치유.민간요법,제 10부 암 및 건강-베이킹소다요법이나 MMS요법은 왜 세상에 잘 알려지지 않는 것일까?.,드림True,2020.01.29.,905
533,벤지미다졸 질문 게시판,펜벤다졸,분홍앵초,2020.01.29.,425
534,비타민 C,비타민씨 항암효과 미국NIH자료,정인82,2020.01.29.,323
535,질문과 대답(QnA),혹시 베이킹소다 복용법 알수있을까요?,갸웃갸웃,2020.01.29.,447
536,니클로사미드,우한폐렴 대책3,정인82,2020.01.29.,458
537,자연치유.민간요법,최강의 간해독제이자 담즙배출촉진제. 인진호탕,정인82,2020.01.29.,266
538,자유게시판,우한폐렴이 사스보다 위험한 사실,정인82,2020.01.29.,366
542,기타 자가임상 후기,희수뇌간종양복용법.뽀삐복용법,헤라,2020.01.30.,519
544,기타 자가임상 후기,뽀삐..펜벤다졸 한달10일 후기~옛애인상봉~,헤라,2020.01.30.,284
545,기타 자가임상 후기,뇌간종양 한달후기,헤라,2020.01.30.,686
546,기타 자가임상 후기,뇌간종양 피검사결과,헤라,2020.01.30.,313
547,기타 자가임상 후기,강아지 유방혹.펜벨다졸 복용기,헤라,2020.01.30.,263
551,기타 자가임상 후기,희수11월5일후기,헤라,2020.01.30.,391
554,자유게시판,자료이사중,헤라,2020.01.30.,180
556,기타 자가임상 후기,누구냐?넌~혐오주의,헤라,2020.01.30.,391
557,기타 자가임상 후기,구충제  병실,헤라,2020.01.30.,272
560,자유게시판,우한 신종 코로나 바이러스,여수등대지기,2020.01.30.,111
561,자유게시판,한국인 60~70% 기생충 감염,화창한오후,2020.01.30.,204
563,자유게시판,"베이킹소다 활용법 A to Z, 가정에서 응급실까지",분홍앵초,2020.01.30.,230
564,자유게시판,구충제효과를 극대화시키려면 ...,정인82,2020.01.30.,353
565,자유게시판,우한 코로나 바이러스 대처법,수국이 있는 풍경,2020.01.30.,92
566,자유게시판,메르스에 대한 니타조사나이드,여수등대지기,2020.01.30.,120
567,자유게시판,종아리 건강이  전신에 미치는 영향 (힐링툴 펌),분홍앵초,2020.01.30.,151
568,가입 인사,안녕하세요,도라지,2020.01.30.,45
569,가입 인사,안녕하세요^^,루루,2020.01.30.,97
570,질문과 대답(QnA),이버멕틴 배출 기간,루루,2020.01.30.,435
571,자유게시판,virus,여수등대지기,2020.01.30.,103
572,니타조사나이드,Nitazoxanide 판매처 설명문,드림True,2020.01.30.,"1,532"
573,이버맥틴,이버맥틴 매일 혹은 하루 건너  12mg(20mg)복용시12일 완전 배출기 고려  누적 량(수정함),드림True,2020.01.31.,"1,148"
574,기타 자가임상 후기,간내담도암 4기 암극복 과정,폭풍입질74,2020.01.31.,"1,079"
575,유투브방송 링크나눔,유튜브 방송 BEST 자료 (처음 오신분들 필히 보세요),폭풍입질74,2020.01.31.,393
578,자유게시판,뽀삐후기,헤라,2020.01.31.,283
579,니타조사나이드,니타조사나이드와 에볼라 바이러스,여수등대지기,2020.01.31.,258
580,자유게시판,알벤다졸 이거 복용법요,새별바라기,2020.01.31.,265
581,자유게시판,파리장군님의 탈퇴에 관하여 저의 생각입니다.,분홍앵초,2020.01.31.,705
582,자유게시판,국제적 비상사태 선포,여수등대지기,2020.01.31.,158
583,자유게시판,파리장군님 없으시면 여기 카페 밴드 돌아가나요?,프로토TV,2020.01.31.,323
584,자유게시판,집단생활하는 개미에게서 우리가 배웁시다.,드림True,2020.01.31.,517
585,정보 공유,암환우가 알아야할 피검사 항목과 내용입니다. (피검사 내용이 궁금하시면 보세요),폭풍입질74,2020.01.31.,969
586,니클로사미드,이베이 니클로사마이드,여수등대지기,2020.01.31.,755
587,니타조사나이드,Nitazoxanide : 동급 최강의 스펙트럼 항 바이러스제,드림True,2020.01.31.,"1,113"
588,자유게시판,많은 사람들이 죽어가나 봅니다..ㅠ,여수등대지기,2020.01.31.,310
589,니타조사나이드,[니타조사나이드]B 형 간염 바이러스 (HBV)에 의한 만성 감염 치료 임상(HBeAg B 형 간염 e 항원 음성으로 된 경우),드림True,2020.01.31.,436
590,유투브방송 링크나눔,"지혜와 성실님의 ""이버멕틴 넌 뭐나"" 입니다.",분홍앵초,2020.01.31.,288
591,"벤지미다졸체험기, 희망나누기",알벤다졸의 효과,프로토TV,2020.01.31.,727
592,이버맥틴,이버메틴 복용에 관한 일본 긴자동경클리닉의 회신입니다.,분홍앵초,2020.01.31.,"1,464"
593,정보 공유,병원 표준항암 치료를 하면 할수록 완치률이 떨어지는 이유,폭풍입질74,2020.01.31.,184
594,담비,메벤다졸_정리,담비,2020.01.31.,661
595,가입 인사,방가워요,구로동아재,2020.02.01.,43
596,자연치유정보 나눔,[공유] 베이킹 소다는자가 면역 질환에 대한 저렴하고 안전한 치료법 일 수 있습니다.,정인82,2020.02.01.,302
